Grid_ID,RouteIdentifier,survey_year,CollectorNumber,nstop
23,NB054,2017,1030073,10
15,NB002,2017,1068489,9
100,NB041,2017,1030056,9
101,NB017,2017,1030056,10
91,NB039,2017,1032147,10
78,NB073,2017,1030070,10
76,NB046,2017,1030405,10
74,NB009,2017,1030122,10
84,NB094,2017,1030122,10
74,NB096,2017,1030122,10
86,NB083,2017,1030122,10
18,NB031,2017,1051830,9
22,NB052,2017,1030370,10
26,NB030,2017,1051830,9
7,NB029,2017,1074875,10
78,NB038,2017,1030372,10
23,NB053,2017,1030085,10
38,NB060,2017,1077609,9
43,NB023,2017,1030368,10
34,NB080,2017,1051847,10
97,NB085,2016,1077263,10
22,NB113,2017,1051849,10
22,NB113,2016,1051849,10
38,NB061,2016,1030081,10
15,NB001,2017,1054918,10
33,NB003,2017,1074890,8
113,NB043,2017,1051811,10
102,NB102,2017,1051811,10
101,NB101,2017,1051811,10
15,NB110,2017,1051827,9
11,NB028,2017,1051827,9
34,NB033,2017,1030374,10
37,NB070,2017,1051844,9
240,NB070,2017,1051844,9
50,NB006,2017,1074874,10
49,NB079,2017,1051810,10
69,NB036,2017,1051832,10
56,NB063,2017,1074880,9
16,NB056,2017,1077272,10
38,NB062,2017,1030030,10
42,NB076,2017,1079011,10
30,NB081,2017,1079009,10
56,NB084,2017,1074880,9
88,NB045,2017,1051811,9
28,NB069,2017,1030041,10
234,NB069,2017,1030041,10
28,NB068,2017,1051843,10
234,NB068,2017,1051843,10
74,NB009,2018,1030122,10
48,NB075,2018,1079011,10
59,NB008,2018,1074874,10
37,NB070,2018,1051844,10
240,NB070,2018,1051844,10
23,NB054,2018,1030073,10
69,NB037,2018,1030372,10
78,NB073,2018,1030070,10
28,NB069,2018,1030051,10
234,NB069,2018,1030051,10
100,NB041,2018,1030056,10
91,NB039,2018,1032147,10
69,NB036,2018,1051832,10
34,NB080,2018,1051847,10
43,NB023,2018,1030368,10
11,NB028,2018,1051827,7
16,NB056,2018,1046609,10
56,NB063,2018,1074880,10
76,NB046,2018,1030405,10
