SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
BARR,1,1,0.687959853,0.337557501,1.39596683,1.058409329,0.643504009,-4.401681774,5.748495667,10.15017744,0,NB,12,1
BARR,2,2,0.691728403,0.185893682,2.541196008,2.355302326,0.361000154,-8.281636578,9.580393782,17.86203036,0,NB,14,1
BARR,3,3,0.671178168,0.338744564,1.318113718,0.979369154,0.201911298,-5.255808473,5.750981935,11.00679041,0,NB,16,3
BARR,4,4,0.583224307,0.262386708,1.274353194,1.011966487,1.800044781,-3.618286109,7.791999422,11.41028553,0,NB,17,1
BARR,5,5,0.742575631,0.328081005,1.680994378,1.352913374,0.2677803,-5.67641448,6.020665927,11.69708041,0,NB,18,1
BARR,6,6,0.582685111,0.2591496,1.285867321,1.026717721,2.59189684,-2.922831399,8.894674427,11.81750583,0,NB,19,1
BARR,7,7,1.099132563,0.583024955,2.117984351,1.534959396,0.155722507,-5.02538779,4.878198944,9.903586734,0,NB,20,1
BARR,8,8,0.718392008,0.368135121,1.39321198,1.025076858,-0.005975555,-4.79149217,4.485365733,9.276857904,0,NB,23,2
BARR,9,9,0.56094368,0.274442211,1.131297583,0.856855372,2.897581717,-2.054916273,8.360377387,10.41529366,0,NB,24,2
BARR,10,10,0.723418828,0.319764011,1.638868606,1.319104595,1.034642781,-4.545492252,6.590422485,11.13591474,0,NB,25,1
BARR,11,11,0.66480978,0.313746079,1.403621735,1.089875656,1.661436073,-3.338093873,6.619700615,9.957794488,0,NB,26,1
BARR,12,12,0.890985152,0.420162288,1.969438852,1.549276564,0.396041835,-4.621157317,4.948854223,9.57001154,0,NB,27,1
BARR,13,13,0.762978407,0.377729109,1.560346854,1.182617745,1.872553283,-2.998667996,6.969460513,9.968128509,0,NB,28,1
BARR,14,14,1.254633071,0.74335631,2.115269459,1.371913148,2.205268705,-1.951705403,6.371015326,8.322720729,0,NB,29,4
BARR,15,15,0.520343059,0.261297816,1.011016146,0.74971833,3.422949353,-0.900921684,8.322773891,9.223695575,0,NB,30,3
BARR,16,16,0.648706722,0.288926661,1.456404284,1.167477623,2.468708972,-2.727970237,8.186203675,10.91417391,0,NB,32,1
BARR,17,17,0.523020411,0.242974968,1.08506948,0.842094512,3.188056562,-1.304517209,8.38157768,9.686094888,0,NB,34,1
BARR,18,18,0.70286203,0.407059112,1.215219742,0.80816063,2.341806871,-1.707553537,6.651286497,8.358840034,0,NB,35,4
BARR,19,19,0.564145445,0.277087073,1.125350844,0.84826377,2.839247501,-1.682671953,7.981183143,9.663855095,0,NB,36,1
BARR,20,20,1.043537527,0.529956961,2.091305034,1.561348073,4.108191647,-0.925394781,9.794850174,10.72024496,0,NB,38,1
BARR,21,21,0.838790117,0.493309599,1.433240833,0.939931234,4.748045182,0.594190655,9.695774681,9.101584026,0,NB,39,3
BARR,22,22,0.647246111,0.263471156,1.602180248,1.338709093,3.240142151,-2.762471301,10.22392036,12.98639166,0,NB,43,1
BARR,23,23,0.593544048,0.318876724,1.088133795,0.769257071,3.223383392,-0.972228835,7.799988698,8.772217533,0,NB,44,2
BARR,24,24,0.474638106,0.220553081,0.970970502,0.750417422,3.424138218,-1.157347027,8.801394828,9.958741855,0,NB,45,1
BARR,25,25,0.466684351,0.246661922,0.869788293,0.623126372,3.50771724,-1.173117132,9.097850017,10.27096715,0,NB,46,3
BARR,26,26,0.536795261,0.274079303,1.034155745,0.760076442,3.207255986,-1.248122321,8.417848051,9.665970372,0,NB,49,1
BARR,27,27,0.540602154,0.254720163,1.116307805,0.861587642,3.290369596,-1.249147322,8.642802623,9.891949945,0,NB,50,1
BARR,28,28,0.583196885,0.224348401,1.503269049,1.278920648,5.180820748,-0.760908713,12.42140466,13.18231337,0,NB,52,1
BARR,29,29,0.389898481,0.20677314,0.715889964,0.509116824,6.109873971,1.35925335,12.18877292,10.82951957,6.109873971,NB,56,6
BARR,30,30,0.833390382,0.470730328,1.49001615,1.019285822,4.610236044,0.4246074,9.60681248,9.182205081,0,NB,57,2
BARR,31,31,0.665347798,0.30939439,1.422039899,1.112645509,3.846379464,-0.72012212,9.243043594,9.963165714,0,NB,58,1
BARR,32,32,0.553651636,0.23579705,1.291260378,1.055463328,1.873123128,-3.62595662,7.466300488,11.09225711,0,NB,59,1
BARR,33,33,0.528504707,0.242939771,1.103138164,0.860198392,3.956914379,-0.517882247,9.505633162,10.02351541,0,NB,61,1
BARR,34,34,0.597553558,0.285045665,1.253780435,0.96873477,2.68016929,-2.033229509,7.842733569,9.875963078,0,NB,63,1
BARR,35,35,0.6965634,0.346187176,1.418786386,1.07259921,2.685769486,-1.79569486,7.484149386,9.279844246,0,NB,66,1
BARR,36,36,0.661724118,0.314057728,1.413677853,1.099620125,2.030653295,-2.667834819,6.715364646,9.383199465,0,NB,69,1
BARR,37,37,0.410703095,0.188110325,0.876353486,0.688243162,5.133519555,-0.271952356,11.71359419,11.98554654,0,NB,70,2
BARR,38,38,0.561900424,0.267214401,1.167103489,0.899889088,4.747308961,0.157693839,10.30173601,10.14404217,0,NB,71,2
BARR,39,39,0.552602877,0.279119923,1.070716801,0.791596878,4.606979154,0.161468257,10.13621972,9.974751468,0,NB,72,2
BARR,40,40,0.700020317,0.387835105,1.26420092,0.876365815,3.565044145,-0.530723198,8.214291517,8.745014715,0,NB,75,2
BARR,41,41,0.412887087,0.177265857,0.925333919,0.748068063,2.575217053,-2.797286295,8.494124375,11.29141067,0,NB,77,1
BARR,42,42,0.481639228,0.253534443,0.896682054,0.643147611,3.256047035,-1.074044549,8.359822379,9.433866928,0,NB,79,2
