SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
BARR,1,1,1.346795441,0.626325435,2.716908009,2.090582573,1.601988761,-3.387846558,7.490435259,10.87828182,0,NB,8,1
BARR,2,2,2.156110183,0.791337266,5.874713858,5.083376593,1.739812641,-4.387082874,8.369673762,12.75675664,0,NB,12,1
BARR,3,3,2.323292946,0.859945509,6.342213519,5.482268011,2.187548791,-4.380530564,9.893272337,14.2738029,0,NB,14,1
BARR,4,4,2.707875075,1.594353401,4.611426434,3.017073032,-0.051339095,-3.94939617,3.994662092,7.944058263,0,NB,16,3
BARR,5,5,2.057504302,0.970353078,4.351385616,3.381032538,0.821288867,-3.865881616,6.001574722,9.867456338,0,NB,17,1
BARR,6,6,1.728447617,0.841134708,3.463276236,2.622141528,-1.271740188,-5.917051357,3.309467051,9.226518408,0,NB,18,2
BARR,7,7,2.395034897,1.234550383,4.6971946,3.462644217,-0.068095363,-4.647624178,4.800430024,9.448054202,0,NB,19,1
BARR,8,8,3.197842451,1.833933321,5.759468984,3.925535663,-1.424702916,-5.752774014,2.734410731,8.487184746,0,NB,20,1
BARR,9,9,2.249343803,1.320317111,3.823442584,2.503125473,0.102198415,-3.580517164,3.896903443,7.477420607,0,NB,23,5
BARR,10,10,1.794198737,0.974617265,3.279214043,2.304596778,-0.570089959,-4.280438682,3.252059238,7.532497921,0,NB,24,3
BARR,11,11,2.310448394,1.140538758,4.712998722,3.572459964,-0.004040239,-4.241079512,4.408143554,8.649223067,0,NB,25,1
BARR,12,12,2.132678638,1.072374886,4.285589226,3.21321434,-3.055155039,-7.603653977,0.981546243,8.58520022,-3.055155039,NB,26,1
BARR,13,13,2.043773612,1.158029532,3.5825886,2.424559068,-0.832941797,-4.670739921,2.987071437,7.657811358,0,NB,27,3
BARR,14,14,2.641428348,1.314958565,5.330777428,4.015818863,1.84048699,-3.317182901,7.724349786,11.04153269,0,NB,28,1
BARR,15,15,2.754941161,1.765856577,4.313757757,2.54790118,-0.449106897,-3.473745785,2.552729971,6.026475756,0,NB,29,4
BARR,16,16,1.387424478,0.731641204,2.562117574,1.830476371,-1.861254038,-6.231163006,2.345406009,8.576569015,0,NB,30,3
BARR,17,17,2.060586646,1.113843429,3.759110212,2.645266783,0.856157708,-3.411386475,5.498953452,8.910339928,0,NB,31,1
BARR,18,18,2.095730597,1.079526752,4.136203723,3.056676971,-1.243298403,-5.744750599,3.05595157,8.800702169,0,NB,32,1
BARR,19,19,2.12920347,1.022660661,4.446025345,3.423364683,-0.221942787,-5.172311064,4.772738284,9.945049348,0,NB,33,1
BARR,20,20,2.41799264,1.207830347,4.843288695,3.635458348,1.630566649,-3.235867219,6.767814404,10.00368162,0,NB,34,2
BARR,21,21,3.648190322,2.27864373,5.904358467,3.625714737,1.474012115,-1.608189366,4.673517297,6.281706664,0,NB,35,5
