SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
BOOW,1,1,0.108341977,0.043458394,0.269898286,0.226439892,-3.221547173,-9.940779314,3.992969888,13.9337492,0,NB,16,1
BOOW,2,2,0.119378873,0.031912628,0.446098375,0.414185748,-2.936764117,-13.09233913,8.395883876,21.48822301,0,NB,17,1
BOOW,3,3,0.101993088,0.032021431,0.324560217,0.292538786,-2.343453364,-11.09193723,7.257761783,18.34969902,0,NB,19,1
BOOW,4,4,0.116289731,0.044783445,0.301738875,0.25695543,-4.138384826,-10.87146535,3.097285269,13.96875062,0,NB,26,1
BOOW,5,5,0.111737303,0.045346228,0.275131032,0.229784804,-2.690859925,-9.427055472,4.540283937,13.96733941,0,NB,27,2
BOOW,6,6,0.123943623,0.052119943,0.29453795,0.242418008,-4.010489245,-10.35794285,2.780753622,13.13869647,0,NB,29,1
BOOW,7,7,0.130859544,0.056908892,0.300704029,0.243795137,-4.541194713,-10.43488165,1.735091717,12.16997337,0,NB,32,1
BOOW,8,8,0.116981011,0.051663414,0.264704674,0.213041261,-3.395670951,-9.614286608,3.245254629,12.85954124,0,NB,35,1
BOOW,9,9,0.138941777,0.057372685,0.336241228,0.278868543,-4.683173935,-10.94772966,2.016484994,12.96421466,0,NB,36,1
BOOW,10,10,0.122265308,0.05156483,0.289701493,0.238136663,-3.975714538,-10.56873177,3.09744058,13.66617235,0,NB,39,1
BOOW,11,11,0.128301788,0.060619502,0.271388002,0.2107685,-3.949964219,-9.491568465,1.926057185,11.41762565,0,NB,44,2
BOOW,12,12,0.12752456,0.059612119,0.27263836,0.213026241,-4.909468438,-10.58520078,1.12152378,11.70672456,0,NB,46,2
BOOW,13,13,0.21940233,0.111472536,0.43159619,0.320123654,-6.234062524,-11.3041066,-0.878644495,10.4254621,-6.234062524,NB,49,1
BOOW,14,14,0.146540842,0.063351439,0.338740703,0.275389264,-4.79412013,-11.27896609,2.15891179,13.43787788,0,NB,51,1
BOOW,15,15,0.139899107,0.061007707,0.320593505,0.259585798,-5.637744642,-11.2897914,0.369418269,11.65920967,-5.637744642,NB,53,1
BOOW,16,16,0.145214751,0.071055933,0.296599882,0.225543949,-8.985220275,-13.98160438,-3.70300252,10.27860186,-8.985220275,NB,56,6
BOOW,17,17,0.185730518,0.090395533,0.381388454,0.29099292,-6.513376724,-11.58576726,-1.154423164,10.4313441,-6.513376724,NB,57,1
BOOW,18,18,0.127186827,0.058229609,0.277630365,0.219400756,-5.721880048,-11.31786272,0.222275672,11.5401384,-5.721880048,NB,58,1
BOOW,19,19,0.121074082,0.056417403,0.259670145,0.203252742,-4.913613428,-10.31892903,0.812739943,11.13166898,-4.913613428,NB,59,1
BOOW,20,20,0.1139578,0.046245126,0.280612172,0.234367047,-4.802866834,-11.28177394,2.143379267,13.42515321,0,NB,60,1
BOOW,21,21,0.114420421,0.050111613,0.261083686,0.210972072,-5.441794317,-11.2804213,0.775895915,12.05631721,-5.441794317,NB,70,1
BOOW,22,22,0.1010275,0.040521984,0.251691637,0.211169653,-8.729154769,-14.51151492,-2.560820756,11.95069416,-8.729154769,NB,77,2
BOOW,23,23,0.119006527,0.055146736,0.256656667,0.201509932,-5.594292714,-11.21608993,0.378510096,11.59460003,-5.594292714,NB,79,1
BOOW,24,24,0.114917082,0.053442804,0.246951685,0.193508881,-5.697433726,-11.06355189,-0.012263388,11.0512885,-5.697433726,NB,87,1
BOOW,25,25,0.091807034,0.041151754,0.204683447,0.163531694,-5.636076769,-11.31433024,0.400715234,11.71504547,-5.636076769,NB,101,2
BOOW,26,26,0.103376276,0.047368058,0.225467031,0.178098973,-5.592089948,-11.24348376,0.414149834,11.65763359,-5.592089948,NB,102,1
BOOW,27,27,0.104131787,0.048069318,0.225438527,0.177369208,-5.219093941,-10.69823583,0.591395455,11.28963129,-5.219093941,PE,130,1
BOOW,28,28,0.105051852,0.046548381,0.236928863,0.190380483,-5.114476168,-11.39434304,1.604865095,12.99920813,0,PE,131,7
BOOW,29,29,0.103089929,0.046839809,0.226746855,0.179907045,-4.83200541,-10.86507068,1.604043019,12.4691137,0,PE,133,4
BOOW,30,30,0.111206522,0.050372698,0.24535117,0.194978472,-5.792333394,-11.63536081,0.431876223,12.06723704,-5.792333394,PE,134,2
BOOW,31,31,0.144543358,0.072436368,0.288268918,0.21583255,-8.606967717,-13.47308055,-3.471450028,10.00163052,-8.606967717,PE,138,6
BOOW,32,32,0.100534117,0.040024021,0.252338706,0.212314685,-7.618646349,-13.71859986,-1.09288114,12.62571872,-7.618646349,PE,139,1
BOOW,33,33,0.103335537,0.047142164,0.226368092,0.179225928,-5.426395048,-11.17236104,0.686172411,11.85853345,-5.426395048,PE,222,1
BOOW,34,34,0.092540421,0.040548641,0.21105607,0.170507428,-6.133655157,-11.94464084,0.055658454,12.00029929,-6.133655157,PE,235,1
