SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
GHOW,1,1,0.268738837,0.146501486,0.464477629,0.317976143,-0.454156673,-4.806271648,4.044460708,8.850732356,0,NB,12,1
GHOW,2,2,0.405871745,0.159917414,1.077227951,0.917310537,-2.260328996,-9.172472697,4.365221799,13.5376945,0,NB,14,1
GHOW,3,3,0.254469839,0.123777925,0.498829561,0.375051636,-0.013940146,-5.394843782,5.872519109,11.26736289,0,NB,16,2
GHOW,4,4,0.26972647,0.141530048,0.494989622,0.353459574,-0.529433956,-5.445991864,4.241879429,9.687871293,0,NB,18,1
GHOW,5,5,0.260872886,0.131661177,0.483525836,0.351864659,-0.126098575,-5.033638628,5.03049314,10.06413177,0,NB,20,1
GHOW,6,6,0.287456916,0.171941537,0.475720984,0.303779447,-0.150545305,-4.259030956,3.954995148,8.214026104,0,NB,23,4
GHOW,7,7,0.247179446,0.139787493,0.408518683,0.26873119,0.324527323,-3.543609967,4.567565776,8.111175743,0,NB,24,2
GHOW,8,8,0.279384292,0.155685048,0.488571525,0.332886477,-0.283906423,-4.645765793,4.010935179,8.656700972,0,NB,26,1
GHOW,9,9,0.303759436,0.167451107,0.552625251,0.385174144,0.72836303,-3.445385375,5.409785811,8.855171186,0,NB,27,2
GHOW,10,10,0.290055851,0.151067898,0.551279009,0.400211111,0.242749237,-4.563546017,5.386261265,9.949807282,0,NB,28,1
GHOW,11,11,0.330867367,0.213320512,0.526704392,0.31338388,-0.372740205,-4.14760232,3.175611511,7.323213831,0,NB,29,4
GHOW,12,12,0.285954764,0.171835632,0.470077159,0.298241527,0.32347731,-3.332807792,4.208366256,7.541174048,0,NB,30,3
GHOW,13,13,0.281601343,0.165542322,0.466703745,0.301161423,0.284276501,-3.52050582,4.319469981,7.839975801,0,NB,31,1
GHOW,14,14,0.308583921,0.188234187,0.509656705,0.321422518,0.527223127,-3.401046198,4.591555232,7.99260143,0,NB,35,5
GHOW,15,15,0.289436471,0.171757941,0.479208555,0.307450614,0.986201671,-2.745926845,5.304438252,8.050365097,0,NB,36,2
GHOW,16,16,0.287363412,0.160324047,0.506252815,0.345928768,0.700210368,-3.448916637,5.363667905,8.812584542,0,NB,38,1
GHOW,17,17,0.298262047,0.189854282,0.466933879,0.277079597,0.591680722,-2.873697108,4.326619064,7.200316173,0,NB,39,3
GHOW,18,18,0.280796119,0.163257327,0.468773921,0.305516593,0.472417691,-3.286512939,4.505307851,7.79182079,0,NB,43,2
GHOW,19,19,0.287736791,0.177662499,0.45793272,0.28027022,0.512884446,-3.006490556,4.306396239,7.312886794,0,NB,44,2
GHOW,20,20,0.243577077,0.124176975,0.441501097,0.317324122,1.907471864,-2.532255857,7.598354425,10.13061028,0,NB,49,1
GHOW,21,21,0.269894911,0.148465267,0.467003598,0.31853833,1.641714465,-2.311244407,6.690570594,9.001815001,0,NB,50,1
