SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
GHOW,1,1,0.302033337,0.163693312,0.526954325,0.363261013,-2.560221626,-6.933955876,1.87953793,8.813493806,0,NB,8,1
GHOW,2,2,0.252009847,0.098809303,0.592520063,0.49371076,-2.046282445,-8.505561685,5.017046992,13.52260868,0,NB,12,1
GHOW,3,3,0.329857575,0.149919171,0.710920953,0.561001782,-2.935799877,-8.560678699,2.63188449,11.19256319,0,NB,14,1
GHOW,4,4,0.329533684,0.184656068,0.572287624,0.387631555,-2.890441043,-7.209601396,1.308345266,8.517946662,0,NB,16,2
GHOW,5,5,0.316349266,0.168320304,0.567957366,0.399637062,-2.762990658,-7.266855017,1.682689566,8.949544583,0,NB,17,1
GHOW,6,6,0.377897051,0.212976889,0.672731269,0.459754379,-3.390130714,-8.012832796,0.667021769,8.679854565,-3.390130714,NB,18,1
GHOW,7,7,0.329367839,0.188939722,0.549134989,0.360195267,-2.339659333,-6.288734968,1.782334663,8.071069632,0,NB,19,1
GHOW,8,8,0.324960669,0.187361561,0.541077087,0.353715525,-2.742005923,-6.838020216,1.247939957,8.085960174,0,NB,20,1
GHOW,9,9,0.424425893,0.266459732,0.683730335,0.417270603,-3.002921678,-6.645215795,0.423217416,7.068433211,-3.002921678,NB,23,5
GHOW,10,10,0.335132431,0.197355772,0.552967205,0.355611433,-3.454264243,-7.425728712,0.135482875,7.561211586,-3.454264243,NB,24,3
GHOW,11,11,0.386982202,0.231832563,0.650351431,0.418518869,-2.97208514,-6.97208865,0.610586076,7.582674726,-2.97208514,NB,26,1
GHOW,12,12,0.370548374,0.233091396,0.589233647,0.356142251,-2.733024588,-6.20823582,0.591901011,6.800136831,-2.733024588,NB,27,3
GHOW,13,13,0.3854144,0.237272538,0.637927452,0.400654914,-2.620992973,-6.479492669,1.059198069,7.538690738,0,NB,28,1
GHOW,14,14,0.495198446,0.320068638,0.792644855,0.472576217,-2.530306325,-6.053035237,0.921922065,6.974957302,-2.530306325,NB,29,4
GHOW,15,15,0.394090233,0.247622289,0.62320636,0.375584072,-2.124836294,-5.409163467,1.21968696,6.628850427,0,NB,30,3
GHOW,16,16,0.388196489,0.229246794,0.661342376,0.432095582,-2.573126407,-6.620065342,1.253479056,7.873544399,0,NB,31,1
GHOW,17,17,0.365860195,0.220808858,0.587050251,0.366241394,-1.769854774,-5.198861871,2.036938872,7.235800742,0,NB,32,1
GHOW,18,18,0.371613051,0.221295533,0.617818446,0.396522912,-2.179475528,-5.958318582,1.649409499,7.607728081,0,NB,33,1
GHOW,19,19,0.348123376,0.211894927,0.54884334,0.336948414,-1.610373227,-4.952104448,2.187137674,7.139242122,0,NB,34,2
GHOW,20,20,0.568011395,0.358596679,0.940054377,0.581457699,-3.337225173,-6.999326292,-0.0061429,6.993183392,-3.337225173,NB,35,5
GHOW,21,21,0.403742973,0.253224742,0.63639407,0.383169329,-1.391464269,-4.735733445,2.490047447,7.225780892,0,NB,36,2
GHOW,22,22,0.461497067,0.263195332,0.851786439,0.588591108,-2.264697254,-6.672649375,2.044948275,8.71759765,0,NB,38,1
