SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
NSWO,1,1,0.363564907,0.202590555,0.62495538,0.422364825,-1.312443152,-5.964792897,3.295133583,9.25992648,0,NB,8,1
NSWO,2,2,0.36989575,0.156607007,0.84100779,0.684400783,-2.929826103,-9.710605025,3.409998363,13.12060339,0,NB,12,1
NSWO,3,3,0.3943315,0.186948053,0.846851859,0.659903806,-1.631093413,-7.539061397,4.185295419,11.72435682,0,NB,14,1
NSWO,4,4,0.344888826,0.197312394,0.568381888,0.371069495,-1.500744659,-5.924167557,2.720350112,8.644517669,0,NB,16,3
NSWO,5,5,0.357933241,0.191347858,0.632520609,0.441172751,-1.121183353,-5.885184494,3.648204469,9.533388964,0,NB,17,1
NSWO,6,6,0.365870043,0.20593174,0.620079503,0.414147763,-0.306156976,-4.653402642,4.45101318,9.104415823,0,NB,18,2
NSWO,7,7,0.355652602,0.203304037,0.581268229,0.377964192,-0.62831463,-4.770323078,3.760854097,8.531177175,0,NB,19,1
NSWO,8,8,0.400061727,0.245169974,0.670253109,0.425083135,-1.438473742,-5.832078648,2.618211712,8.45029036,0,NB,20,1
NSWO,9,9,0.410104345,0.257946775,0.660890606,0.402943831,0.197884415,-3.530394126,4.367158178,7.897552304,0,NB,23,5
NSWO,10,10,0.339303496,0.185454802,0.565723497,0.380268694,-0.793722759,-5.060380143,3.578816547,8.639196691,0,NB,24,2
NSWO,11,11,0.397943606,0.241986454,0.658274071,0.416287616,-0.340074937,-4.261727122,3.800542399,8.062269521,0,NB,25,1
NSWO,12,12,0.364669494,0.214284033,0.587304942,0.373020909,-0.593574364,-4.510739381,3.540933205,8.051672586,0,NB,26,1
NSWO,13,13,0.376095765,0.225196192,0.606890761,0.381694569,-0.411601229,-4.205935269,3.64802805,7.853963318,0,NB,27,1
NSWO,14,14,0.395740878,0.222529956,0.694556512,0.472026556,0.294132734,-4.141425402,5.340394541,9.481819943,0,NB,28,1
NSWO,15,15,0.423057302,0.281009751,0.653648518,0.372638768,-0.040295455,-3.495036399,3.666698647,7.161735047,0,NB,29,4
NSWO,16,16,0.389448526,0.235119491,0.637362889,0.402243398,-0.853271658,-4.694171578,2.957644538,7.651816116,0,NB,30,3
NSWO,17,17,0.375702256,0.228200108,0.58715393,0.358953822,0.299859852,-3.251553927,4.524253062,7.775806989,0,NB,31,1
NSWO,18,18,0.395126218,0.244235233,0.642719983,0.39848475,-0.810823332,-4.695572938,2.976319086,7.671892024,0,NB,32,1
NSWO,19,19,0.380377267,0.235865166,0.594427694,0.358562528,-0.033766788,-3.568715018,3.969341197,7.538056215,0,NB,34,2
