SpeciesCode,,id,alph,alph_ll,alph_ul,alph_iw,tau,tau_ll,tau_ul,tau_iw,tau_sig,prov,grid_id,number_routes
NSWO,1,1,0.653551106,0.414964077,1.04336587,0.628401792,-1.343671906,-5.516303954,2.719965864,8.236269818,0,NB,8,1
NSWO,2,2,0.618845379,0.291072969,1.268085422,0.977012453,-1.777477134,-7.733919325,4.210252552,11.94417188,0,NB,12,1
NSWO,3,3,0.654445457,0.353113824,1.23329719,0.880183366,-1.465599239,-6.673080796,3.736395377,10.40947617,0,NB,14,1
NSWO,4,4,0.600671687,0.375576726,0.915690276,0.54011355,-1.641337187,-5.637870462,2.120372766,7.758243228,0,NB,16,3
NSWO,5,5,0.64635302,0.394682699,1.062811512,0.668128813,-0.504014184,-4.522439786,3.929125184,8.45156497,0,NB,17,1
NSWO,6,6,0.589977032,0.355660299,0.905469684,0.549809385,-0.461875231,-4.37572519,3.746341846,8.122067037,0,NB,18,2
NSWO,7,7,0.585525161,0.360204225,0.871207059,0.511002835,-0.451395526,-4.117991892,3.62133702,7.739328912,0,NB,19,1
NSWO,8,8,0.670121676,0.452003932,1.032186566,0.580182633,-1.291319587,-5.104657881,2.317406527,7.422064407,0,NB,20,1
NSWO,9,9,0.638267704,0.421703714,0.950914426,0.529210712,0.058716427,-3.318501163,3.834470611,7.152971774,0,NB,23,5
NSWO,10,10,0.589854197,0.364194351,0.887560126,0.523365775,-0.70788158,-4.282237725,3.016717827,7.298955552,0,NB,24,3
NSWO,11,11,0.624015308,0.402662821,0.932424188,0.529761367,-0.201348994,-3.69066691,3.697237723,7.387904633,0,NB,25,1
NSWO,12,12,0.623109019,0.405752829,0.924396034,0.518643205,-0.647718545,-4.126239022,3.014915138,7.14115416,0,NB,26,1
NSWO,13,13,0.577447274,0.368036093,0.826389947,0.458353854,-0.126967096,-3.296142544,3.485589494,6.781732038,0,NB,27,3
NSWO,14,14,0.654493862,0.409675733,1.039072277,0.629396544,-0.637436118,-4.81272788,3.515784073,8.328511953,0,NB,28,1
NSWO,15,15,0.700544596,0.50170604,1.024385408,0.522679368,-0.231357024,-3.252889978,3.038396772,6.29128675,0,NB,29,4
NSWO,16,16,0.679142417,0.457594638,1.044537193,0.586942555,-1.410783444,-4.96161595,1.87557928,6.83719523,0,NB,30,3
NSWO,17,17,0.611626169,0.400204226,0.876820907,0.476616681,-0.027840085,-3.27829865,3.718410938,6.996709588,0,NB,31,1
NSWO,18,18,0.640713482,0.427807355,0.948921728,0.521114372,-0.873543913,-4.360343848,2.538984449,6.899328297,0,NB,32,1
