"","RouteIdentifier","survey_year","CollectorNumber","nstop","latitude","longitude","StateProvince","bcr"
"1","NS036",2017,1032073,9,44.721779,-65.007431,"NS",14
"2","NS029",2017,1051828,10,44.91608,-63.404789,"NS",14
"3","NS025",2017,1030311,9,45.861469,-64.133003,"NS",14
"4","NS014",2017,1030340,10,45.398479,-62.493778,"NS",14
"5","NS016",2017,1051814,10,45.418629,-63.040161,"NS",14
"6","NS048",2017,1030079,10,44.37122,-65.919701,"NS",14
"7","NS003",2017,1030054,10,45.75526,-61.930302,"NS",14
"8","NS021",2017,1030049,10,45.057018,-63.150108,"NS",14
"9","NS035",2017,1031548,10,44.339329,-64.628418,"NS",14
"10","NS034",2017,1031548,10,44.265541,-64.602493,"NS",14
"11","NS049",2017,1031548,10,44.374001,-64.443802,"NS",14
"12","NS044",2017,1069217,10,44.175701,-66.065002,"NS",14
"13","NS026",2017,1032294,10,45.659531,-64.382339,"NS",14
"14","NS019",2017,1051816,9,44.81395,-62.67519,"NS",14
"15","NS019",2016,1051816,9,44.81395,-62.67519,"NS",14
"16","NS028",2017,1030104,10,44.77626,-63.836529,"NS",14
"17","NS039",2017,1051834,9,44.96664,-65.057533,"NS",14
"18","NS015",2017,1048652,10,45.63282,-63.057991,"NS",14
"19","NS027",2017,1077695,10,44.723099,-63.916401,"NS",14
"20","NS032",2017,1031008,9,44.963039,-64.220131,"NS",14
"21","NS017",2017,1051815,10,45.105282,-63.46595,"NS",14
"22","NS047",2017,1079012,10,44.555771,-65.853317,"NS",14
"23","NS022",2017,1074862,10,45.905701,-63.8969,"NS",14
"24","NS041",2017,1051836,10,44.437191,-65.19619,"NS",14
"25","NS013",2017,1031199,10,45.401241,-62.47691,"NS",14
"26","NS036",2018,1032073,10,44.721779,-65.007431,"NS",14
"27","NS025",2018,1030311,9,45.875221,-64.13131,"NS",14
"28","NS014",2018,1030340,10,45.398479,-62.493778,"NS",14
"29","NS017",2018,1051815,9,45.105282,-63.46595,"NS",14
"30","NS004",2017,1030340,8,45.4268,-62.700001,"NS",14
"31","NS032",2018,1031008,10,44.963039,-64.220131,"NS",14
"32","NS029",2018,1051828,10,44.91608,-63.404789,"NS",14
"33","NS021",2018,1030049,10,45.057018,-63.150108,"NS",14
"34","NS004",2018,1030340,10,45.4268,-62.700001,"NS",14
"35","NS003",2018,1030340,10,45.75526,-61.930302,"NS",14
