"","grid_id","number_routes"
"1",3,1
"2",4,7
"3",6,4
"4",7,2
"5",10,3
"6",11,3
"7",12,1
"8",16,1
"9",38,1
"10",39,1
"11",46,1
"12",48,1
"13",49,2
"14",50,1
"15",51,2
"16",55,1
"17",58,2
"18",59,1
"19",63,2
"20",64,2
"21",65,1
"22",66,2
"23",68,1
"24",75,2
"25",76,1
"26",77,1
"27",78,2
"28",81,1
"29",82,3
"30",83,3
"31",84,1
"32",85,1
"33",88,1
"34",92,1
"35",93,1
"36",94,1
"37",95,1
"38",96,1
"39",97,1
"40",103,1
"41",107,1
"42",108,4
"43",120,1
"44",123,3
"45",124,1
"46",125,1
"47",126,1
"48",128,2
"49",129,2
"50",130,1
"51",131,1
"52",132,1
"53",133,3
"54",135,1
"55",137,1
"56",138,4
"57",139,1
"58",140,1
"59",141,3
"60",145,1
"61",146,2
"62",147,1
"63",149,1
"64",150,1
"65",152,1
"66",156,2
"67",157,1
"68",158,1
"69",160,1
"70",162,1
"71",164,1
"72",167,1
"73",168,2
"74",169,2
"75",172,2
"76",174,1
"77",176,2
"78",180,1
"79",182,1
"80",183,1
"81",184,1
"82",190,1
"83",191,1
"84",192,2
"85",194,1
"86",195,3
"87",196,2
"88",197,1
"89",208,1
"90",209,1
