"","grid_id","number_routes"
"1",3,1
"2",4,8
"3",6,4
"4",7,2
"5",10,3
"6",11,4
"7",12,1
"8",16,1
"9",37,1
"10",38,1
"11",39,1
"12",46,1
"13",48,1
"14",49,2
"15",50,1
"16",51,2
"17",55,1
"18",56,1
"19",58,2
"20",59,1
"21",63,2
"22",64,2
"23",65,1
"24",66,2
"25",68,1
"26",73,1
"27",75,2
"28",76,1
"29",77,1
"30",78,2
"31",81,2
"32",82,3
"33",83,3
"34",84,1
"35",85,1
"36",88,1
"37",92,1
"38",93,1
"39",94,1
"40",95,1
"41",96,1
"42",97,1
"43",103,1
"44",107,1
"45",108,4
"46",117,1
"47",120,1
"48",123,3
"49",124,1
"50",125,2
"51",126,1
"52",128,5
"53",129,3
"54",130,1
"55",131,1
"56",132,3
"57",133,3
"58",134,1
"59",135,1
"60",136,1
"61",137,2
"62",138,5
"63",139,2
"64",140,1
"65",141,3
"66",145,2
"67",146,2
"68",147,1
"69",149,1
"70",150,1
"71",151,2
"72",152,1
"73",153,2
"74",154,1
"75",156,2
"76",157,2
"77",158,1
"78",159,2
"79",160,1
"80",161,1
"81",162,2
"82",164,1
"83",166,1
"84",167,1
"85",168,3
"86",169,2
"87",172,2
"88",174,2
"89",175,1
"90",176,2
"91",180,3
"92",182,1
"93",183,2
"94",184,2
"95",186,1
"96",187,1
"97",190,1
"98",191,1
"99",192,2
"100",193,1
"101",194,1
"102",195,4
"103",196,2
"104",197,1
"105",203,1
"106",208,1
"107",209,2
