"","grid_id","number_routes"
"1",3,1
"2",4,6
"3",6,4
"4",7,1
"5",10,2
"6",11,3
"7",12,1
"8",38,1
"9",46,1
"10",49,2
"11",50,1
"12",51,1
"13",55,1
"14",58,1
"15",59,1
"16",63,2
"17",64,1
"18",65,1
"19",66,1
"20",68,1
"21",73,1
"22",75,2
"23",76,1
"24",78,1
"25",82,3
"26",83,3
"27",84,1
"28",85,1
"29",88,1
"30",94,1
"31",95,1
"32",96,1
"33",97,1
"34",103,1
"35",107,1
"36",108,3
"37",120,1
"38",123,2
"39",125,1
"40",128,4
"41",129,2
"42",131,1
"43",132,2
"44",133,3
"45",134,1
"46",138,5
"47",139,2
"48",140,1
"49",141,3
"50",145,2
"51",146,2
"52",149,1
"53",150,1
"54",153,2
"55",156,2
"56",158,1
"57",159,1
"58",160,1
"59",166,1
"60",167,1
"61",168,1
"62",169,1
"63",172,1
"64",174,2
"65",175,1
"66",176,2
"67",180,1
"68",182,1
"69",186,1
"70",187,1
"71",190,1
"72",192,1
"73",193,1
"74",195,1
"75",196,2
"76",197,1
"77",203,1
"78",208,1
