"","grid_id","number_routes"
"1",3,1
"2",4,8
"3",6,4
"4",7,1
"5",10,3
"6",11,3
"7",12,1
"8",16,1
"9",37,1
"10",38,1
"11",46,1
"12",48,1
"13",49,2
"14",50,1
"15",51,2
"16",55,1
"17",56,1
"18",58,1
"19",59,1
"20",63,2
"21",64,2
"22",65,1
"23",66,2
"24",68,1
"25",73,1
"26",75,2
"27",76,1
"28",78,1
"29",81,1
"30",82,3
"31",83,3
"32",84,1
"33",85,1
"34",88,1
"35",93,1
"36",94,1
"37",95,1
"38",96,1
"39",97,1
"40",103,1
"41",107,1
"42",108,4
"43",117,1
"44",120,1
"45",123,2
"46",124,1
"47",125,1
"48",126,1
"49",128,5
"50",129,3
"51",131,1
"52",132,3
"53",133,3
"54",134,1
"55",135,1
"56",136,1
"57",137,2
"58",138,5
"59",139,2
"60",140,1
"61",141,3
"62",145,2
"63",146,2
"64",147,1
"65",149,1
"66",150,1
"67",152,1
"68",153,2
"69",154,1
"70",156,2
"71",157,1
"72",158,1
"73",159,2
"74",160,1
"75",162,1
"76",164,1
"77",166,1
"78",167,1
"79",168,2
"80",169,2
"81",172,1
"82",174,2
"83",175,1
"84",176,2
"85",180,1
"86",182,1
"87",184,1
"88",186,1
"89",187,1
"90",190,1
"91",192,1
"92",193,1
"93",194,2
"94",195,2
"95",196,2
"96",197,1
"97",203,1
"98",208,1
