"","grid_id","number_routes"
"1",3,1
"2",4,8
"3",6,4
"4",7,2
"5",10,3
"6",11,4
"7",12,1
"8",16,1
"9",38,1
"10",44,1
"11",46,1
"12",48,1
"13",49,2
"14",50,1
"15",51,2
"16",55,1
"17",58,2
"18",59,1
"19",63,2
"20",64,1
"21",65,1
"22",66,2
"23",68,1
"24",73,1
"25",75,2
"26",76,1
"27",78,1
"28",81,1
"29",82,3
"30",83,3
"31",84,1
"32",85,1
"33",88,1
"34",92,1
"35",94,1
"36",95,1
"37",96,1
"38",97,1
"39",103,1
"40",107,1
"41",108,3
"42",117,1
"43",120,1
"44",123,3
"45",124,1
"46",125,2
"47",126,1
"48",128,5
"49",129,2
"50",130,1
"51",131,1
"52",132,1
"53",133,3
"54",134,1
"55",135,1
"56",137,2
"57",138,3
"58",139,2
"59",140,1
"60",141,2
"61",145,2
"62",146,2
"63",147,1
"64",149,1
"65",150,1
"66",151,1
"67",153,2
"68",154,1
"69",156,1
"70",157,2
"71",158,1
"72",159,2
"73",160,1
"74",161,1
"75",162,2
"76",164,1
"77",166,1
"78",168,1
"79",172,2
"80",174,2
"81",176,2
"82",180,2
"83",182,1
"84",183,1
"85",186,1
"86",187,1
"87",190,1
"88",191,1
"89",192,2
"90",193,1
"91",194,1
"92",195,3
"93",196,2
"94",197,1
"95",203,1
"96",208,1
"97",209,1
