"","grid_id","number_routes"
"1",3,1
"2",4,8
"3",6,4
"4",7,2
"5",10,3
"6",11,4
"7",12,1
"8",16,1
"9",38,1
"10",39,1
"11",44,1
"12",46,1
"13",48,1
"14",49,2
"15",50,1
"16",51,2
"17",55,1
"18",56,1
"19",58,2
"20",59,1
"21",63,2
"22",64,2
"23",65,1
"24",66,2
"25",68,1
"26",73,1
"27",75,2
"28",76,1
"29",78,2
"30",81,1
"31",82,3
"32",83,4
"33",84,1
"34",85,1
"35",88,1
"36",92,1
"37",93,1
"38",94,1
"39",95,1
"40",96,1
"41",97,1
"42",103,1
"43",107,1
"44",108,4
"45",117,1
"46",120,1
"47",123,3
"48",124,1
"49",125,2
"50",126,1
"51",128,5
"52",129,3
"53",130,1
"54",131,1
"55",132,3
"56",133,3
"57",134,1
"58",135,1
"59",136,1
"60",137,2
"61",138,5
"62",139,2
"63",140,1
"64",141,3
"65",145,2
"66",146,2
"67",147,1
"68",149,1
"69",150,1
"70",151,1
"71",153,2
"72",154,1
"73",156,2
"74",157,2
"75",158,1
"76",159,2
"77",160,1
"78",161,1
"79",162,2
"80",164,1
"81",166,1
"82",168,3
"83",169,1
"84",172,2
"85",174,2
"86",175,1
"87",176,2
"88",180,3
"89",182,1
"90",183,2
"91",184,1
"92",186,1
"93",187,1
"94",190,1
"95",191,1
"96",192,2
"97",193,1
"98",194,1
"99",195,3
"100",196,2
"101",197,1
"102",203,1
"103",208,1
"104",209,1
